probe_id,gene_symbol
1025161,GABRE
1016021,STX17-AS1
1038611,RUBCNL
1040012,EPB41L4A
1063894,LOC257396
1016244,RFPL2
1037934,IMMP2L
1020453,PVR
1052898,POLR2A
1034144,CAMSAP1
1019218,WDFY3-AS2
1017660,AIFM3
1041040,SHD
1042759,GPN2
1016841,PPM1N
1024892,TXLNB
1014125,PTPMT1
1039189,CEP97
1057625,DKC1
1041090,LXN
1016449,LRRC61
1016119,CASC15
1044533,TEKT2
1039402,ASPSCR1
1039859,GZF1
1039075,ZNF322
1054843,KCNC3
1037612,ECRG4
1055136,IGFBP2
1071076,SCX
1025052,EPHA5
1012169,DUSP19
1041950,STRBP
1026310,SCMH1
1015648,ICAM2
1040275,NTN4
1012442,UBE2Q2P1
1013137,SEPTIN7P2
1035725,SPATA33
1042359,FKBP14
1019742,LOC389765
1015655,NAP1L6
1026227,CPLX2
1045743,COTL1
1016299,ZNF239
1029815,OSBPL3
1044307,CNIH4
1040440,MEAK7
1059368,ADM
1033219,TIGD3
1027218,BICRAL
1034803,TMEM86A
1025149,PTHLH
1062500,SLC4A8
1042097,CCDC25
1029456,EFR3A
1035636,CLDND2
1065053,ACTR3-AS1
1020908,TPM3P9
1016657,NUPR2
1048020,PUM3
1063354,LOC102723665
1029512,ST3GAL1
1024460,SFI1
1023793,PAIP1
1038136,RILP
1023497,URB2
1038906,EFCC1
1063918,SLC25A37
1054568,LIMK1
1018366,LOC339803
1057637,DHFR
1015274,PLXNA4
1042098,SLC47A1
1039879,GMCL1
1045116,TKFC
1043780,YBX2
1050378,VRK1
1054048,MSH3
1015603,MIR4435-2HG
1036141,LRRC56
1035611,SWSAP1
1020921,TPK1
1036849,MLIP
1026020,ISLR
1065852,LOC100506271
1024955,COX15
1033251,PPP1R32
1027055,BCL7A
1043451,UCHL5
1033567,CADM4
1058520,CCNE1
1032581,KSR2
1043683,HSD17B14
1051210,SOX15
1019850,EIF2AK1
1036902,TP53I13
1035895,CPXM2
1024396,MEGF6
1056440,GFRA2
1032023,ZBTB8OS
1022564,PHYH
1033225,NR2F2-AS1
1045761,LARS2
1016459,LINC01547
1049094,TAF1C
1034612,ANKRD29
1038534,TRABD
1024686,ZC3H12B
1055226,ICAM3
1054430,SMAD4
1018485,MYOM2
1060254,THEMIS2
1016434,NEURL1B
1033143,RSPH9
1023333,CDKN2C
1034138,LINGO2
1055037,IL12RB2
1039238,WDR25
1048756,SRSF11
1023043,PAQR3
1041373,ALG1
1027746,CRYZL1
1020860,NGDN
1011006,SLC38A1
1043279,TDP2
1017088,RBM24
1013955,CCDC39
1055080,IL3RA
1058977,ATP2B3
1058738,KLF9
1056999,FGF7
1041424,LANCL2
1036466,TBC1D31
1032316,DOK7
1070109,DHRS4L1
1043971,MYEF2
1028213,ZFP14
1032521,CCDC57
1034614,CBLN2
1027104,KIAA1328
1036145,LRRC42
1059146,APOC1
1030689,MYO16
1017286,SFTA1P
1024407,RELT
1046522,FSTL1
1054848,KCNC1
1038788,SLC35E1
1042876,TMCO1
1051403,SLC16A2
1017989,FAM171A2
1024386,NRG3
1030183,TRPM3
1041521,UBAP2
1050455,UCK2
1041639,FAM222B
1031145,HAPLN4
1035687,KRBA2
1012985,COCH
1051049,STK11
1017703,LINC02604
1035951,ZNF354B
1046241,SLITRK3
1049011,DIRAS3
1058926,ATR
1057601,DNAH5
1034381,FAM117B
1016687,POC1A
1016908,MYO1B
1024428,AR
1041194,PANX2
1020144,ANKRD18A
1015938,FAM104A
1034086,ARHGAP36
1023910,VAMP1
1038153,GLT8D2
1035318,MTERF4
1029050,PPP4R3A
1034778,CPNE8
1010744,TCF7L2
1029997,SETD3
1048451,MRPL33
1034245,BTNL9
1049134,HIST1H2AG
1037738,SLF1
1056493,NIPSNAP2
1029434,ZSCAN26
1018209,PSMA4
1047246,SLC19A2
1061208,SPACA6
1050824,TGFBI
1045774,MAU2
1025477,TNNT2
1038187,HDHD3
1014561,WHAMMP3
1026161,RNF216
1035715,ZC3H18
1035669,WFIKKN2
1029927,ANK1
1046722,RAB32
1032327,PRRT3
1015913,TDG
1045094,ATRNL1
1016821,DGCR9
1052411,PURB
1017910,ANO5
1022139,CEP112
1046621,TPPP
1039208,SLC52A2
1017259,MSL3P1
1068891,FAM86DP
1020364,LINC00680
1047756,LPCAT3
1039034,VPS37B
1054611,LCP2
1058357,CDKN1B
1019881,RPGRIP1L
1058620,CALB1
1045013,GAPVD1
1054730,KIF22
1025317,GLCCI1
1040619,GPR158
1063888,ELMOD2
1042823,NECAB2
1010563,KCNQ5
1023186,HAUS7
1070247,SBNO1
1027487,PRPF40B
1029042,RWDD1
1025043,ARID5B
1068232,ERLIN1
1010939,HDHD5-AS1
1024341,RORA
1056246,GPR20
1061149,FBXO32
1036599,GORAB
1042659,ZNF562
1052425,PTPRR
1033888,CNST
1038768,DENND1C
1047914,SH2B3
1036181,VASN
1050844,TFE3
1034648,RUNDC1
1034011,GPR180
1054079,MOCS1
1052642,THAP12
1050759,TLE1
1042561,ALKBH5
1065762,LINC01128
1042208,PRMT6
1047560,LANCL1
1026564,ACACA
1023616,ZNF365
1027546,RNF157
1022876,HTR4
1045495,MKRN2
1018588,CAB39
1032222,FAM78A
1036706,SYT12
1027945,ELP5
1033670,ADAMTS19
1063915,FMN1
1034266,CREBRF
1016061,KANSL1-AS1
1030897,SETD2
1034846,FGFBP3
1040939,UTP3
1036245,STK11IP
1043126,HIGD1B
1029057,CCDC167
1043787,GAL
1032297,ARL10
1025998,SEMA5B
1056387,GLO1
1027501,CD163
1047859,EDIL3
1041136,TCIM
1042244,MTPAP
1046257,CPEB3
1063648,PTPRD-AS1
1045063,HACL1
1058400,CDH3
1029296,MKNK2
1024078,CNTN4
1025205,PDE8A
1038602,CHD9
1029761,SYNPO2
1031505,AMIGO3
1054652,KRT86
1019708,NABP1
1058327,CEBPB
1017129,SPIDR
1017591,SLC27A2
1039005,ZBBX
1063728,NIFK-AS1
1015568,NEBL-AS1
1051018,SURF6
1035342,LYPD6
1016051,SPSB2
1022108,LOC102723753
1023409,ARHGAP6
1054891,JAK1
1032396,ALKAL2
1017818,HLA-DQB2
1054831,KCNG1
1042678,KLHL24
1050553,TTR
1046419,NXPH4
1019366,LINC00900
1017084,UBE2CP5
1018271,MILR1
1054823,KCNJ3
1010772,JAKMIP3
1037265,NFATC2IP
1032252,XKR6
1016881,VPS37D
1062678,UGCG
1042949,SIAE
1059611,RCSD1
1022110,GPR22
1052696,PRKCA
1046287,HSPA4L
1016162,TOX2
1035032,AMER1
1017275,HAR1A
1049922,NRIP1
1053155,CDK14
1048598,ABCG2
1022659,SLC22A10
1023389,KCNMB2
1032475,ZADH2
1018763,PA2G4P4
1019539,CCDC149
1029845,ZNF189
1033632,SDR16C5
1031769,HCN1
1015787,LRTOMT
1015240,C5orf24
1036619,CDHR1
1037919,FAM172A
1039178,VCPKMT
1025930,ZNF793
1010650,TTC39C
1019985,GIGYF2
1015864,ZMAT4
1040089,ZNF667
1058515,CCNG2
1050682,TNS1
1040186,LDAH
1021799,DNAAF4
1069922,SYTL5
1048572,ITM2A
1045891,SIK2
1039216,ATP13A3
1050599,TRPC1
1018498,FAM86B3P
1010527,PRRT4
1035742,NTAN1
1017636,CRYZ
1027001,TMEM244
1049377,CTNNAL1
1065733,PPP5D1
1029117,TNFRSF25
1012032,SMIM19
1041229,DNAJC12
1038472,PBX4
1023884,HACD4
1053981,MTRR
1056204,GPT
1061304,NRAV
1027786,PTGER3
1016110,SLC22A23
1034942,SAMD10
1019650,ANKRD36B
1063196,LINC01184
1027155,CTH
1048730,TRIP10
1046919,CLPX
1033968,SLFN5
1025531,B3GNTL1
1010813,XPR1
1045082,SETBP1
1020654,WHAMMP2
1017649,FOXN3-AS1
1048389,IER2
1061123,ARL5B
1061580,ATP6V1FNB
1040360,NGB
1016537,RRN3P3
1034077,USP51
1031991,NAT8L
1010493,IFFO2
1060443,EPHB2
1022127,GPR6
1055550,HPCA
1044041,EHD2
1053080,PIGF
1012880,SYN3
1021910,FAM71E1
1051204,SP2
1033037,SEMA3D
1030508,CHAC2
1028233,IKBIP
1040555,ZNF471
1042843,MIER2
1048694,SLIT2
1044625,KCNH5
1011340,MYO7A
1020785,CACNB4
1055121,CCN1
1016771,TMEM249
1028176,MINAR1
1042311,CCDC186
1047071,DLL3
1040607,CGN
1045242,INTS7
1039854,MTMR14
1050912,ZNF354A
1060012,NFIC
1054863,KCNA4
1045354,RAB3GAP2
1052189,RGS16
1015836,ABCG4
1039347,LINC02609
1012477,GSTM4
1067806,HIVEP3
1035315,CCDC148
1048188,LRATD1
1023844,CADPS2
1044241,C2orf27A
1036768,L3MBTL4
1030833,LDLRAD4
1045534,ARL2BP
1062674,LINC00643
1024404,HIF1A
1019990,SET
1052433,PTPRG
1018297,DPH5
1047283,RNASEH2A
1024905,SPAG16
1029068,TFEC
1039415,TMEM38A
1049709,CAVIN2
1041268,C8orf44
1037702,PRADC1
1021481,KCTD9
1051299,SMPD2
1013022,SCIN
1063214,LOC101927588
1033694,S100Z
1046638,UBE2C
1018488,TCOF1
1036019,RPL39L
1054099,MMP15
1036508,NAPRT
1022055,NUDT9P1
1019628,VASH2
1035450,C1orf162
1010507,BCL2A1
1030048,CARD17
1050481,UCN
1042276,TMEM39B
1015821,PRORSD1P
1055603,HMOX1
1041329,PCDHB2
1031286,UNC5B-AS1
1033961,RHBDL3
1042042,LRRC36
1057396,EDN1
1035901,GSTO2
1018848,SPATA1
1021269,TMEM8B
1014547,VWA3A
1043422,PPME1
1035236,AASDH
1019350,ASMTL-AS1
1016457,FOSB
1038796,KIAA0319L
1050739,TLR5
1040691,ABHD6
1067110,TMEM255B
1044036,CDR2L
1024280,SLC7A8
1025740,TPST2
1047329,UNC13B
1030742,CHD8
1036327,LARP4
1031351,MROH5
1022826,DNAH2
1034277,C4orf45
1034994,ASB5
1062686,ZNF641
1054067,MPP1
1067137,PRKAR2A
1017926,BORCS5
1046488,ABCB8
1068118,LOC100506388
1023524,CDH7
1017397,MIR600HG
1049730,BCAR3
1011005,HHIPL1
1010696,NREP
1040009,LRRC4
1032278,PPIL6
1015777,DOK3
1066122,KCNA2
1036764,TIGD7
1070192,JCAD
1015986,SERTAD4-AS1
1055191,IFI27
1034747,RDH12
1070165,ERICH6-AS1
1040833,GOPC
1026191,IQCB1
1037131,HIST1H2AH
1052218,RFC3
1015693,FER1L4
1023962,SOHLH1
1051284,SNAPC2
1044689,STAU2
1015832,SPON2
1027700,MATN2
1037218,RAB2B
1050038,PLA2G7
1018026,IQCG
1029579,LUZP2
1036631,MTDH
1045905,TBC1D1
1032953,WDR27
1034449,SHLD1
1042587,PALMD
1061510,LOC149373
1021449,MINDY2
1023124,RAD51B
1048554,EIF4E2
1055846,GUCA2B
1051961,RPS6KB1
1039163,ARMT1
1041206,TWNK
1034688,GSG1L
1047300,DEAF1
1027370,AMD1
1065205,PPARGC1B
1047603,UBE4B
1051077,STAT4
1017762,COG2
1041208,EIF5A2
1037090,ALG2
1016951,LINC00461
1031108,FNDC9
1017439,SYNDIG1L
1012331,AIDA
1029311,DNAJC16
1041560,ADAP2
1026239,CASP1
1027951,ZNF302
1067443,SLC24A2
1058630,CACNB3
1050978,TAF11
1014434,BASP1-AS1
1043673,DCXR
1049660,SEMA7A
1050861,TFAM
1049027,MAP3K6
1041883,HES6
1059037,ASCL2
1026450,CALHM6
1043118,RAB8B
1036347,PLCD3
1048029,NCAPD2
1052319,RALB
1039731,C11orf1
1049198,EIF2B3
1048967,INA
1050871,TEK
1010503,PDE4A
1024141,ALDH18A1
1014610,FAM177A1
1019878,SMC6
1042630,BSPRY
1038267,VMP1
1053320,PCK2
1057674,DHX8
1010261,LOC100129291
1068172,EIF2S3B
1031811,LRRTM1
1038040,GRWD1
1066609,FAM110C
1037313,CRYBG3
1031049,TRIM67
1036572,MOB1B
1040501,KLHL1
1055626,HMGB3
1030154,SCN1B
1019065,MAGIX
1045428,ATXN3
1038697,SEMA6D
1036110,WDFY2
1058828,PRDM1
1035129,ZNF786
1042190,RIF1
1036822,CARMIL3
1046100,FBXO21
1039725,MICAL1
1047522,TRIM22
1047323,SEMA6C
1011778,CKMT2-AS1
1022835,CYS1
1014946,TSPAN14
1023353,FBXO11
1022681,LOC440084
1057651,CFD
1030202,YOD1
1056925,FLT3
1060934,SSBP3
1020546,PPM1H
1054903,STT3A
1038945,ALG9
1038734,PLEKHH3
1063722,LOC101929229
1055796,HIST1H2BD
1016007,MCF2L
1059033,ASIP
1033473,PLD6
1017775,PLAG1
1033897,CITED4
1041539,DOK5
1035488,UBXN10
1028124,AKAP14
1022340,DCAF15
1019767,AIMP1
1019362,EMILIN1
1036234,TMEM200A
1058029,COX7A1
1043102,KDM3B
1039049,IGFLR1
1023875,NUDT17
1057451,DUSP1
1018371,GLRA2
1017608,WARS2
1068274,ERVK13-1
1017590,HYDIN
1039462,LRFN4
1054134,MLLT1
1020013,ERAP2
1044490,BHLHE22
1038010,RSPH3
1023281,GOLGA7B
1023397,LOXL3
1060275,ADAM22
1031343,IER5L
1047807,ARL4C
1046647,WWP1
1013803,SKIL
1064729,FER
1055582,HNRNPH1
1010339,C9orf129
1050996,TADA2A
1019595,ATP6V0E2-AS1
1041534,VPS11
1019266,SLC39A13
1059035,ASGR1
1029640,RASAL2
1030887,CLYBL
1062805,APTR
1015306,ARHGAP26
1060578,MHENCR
1025229,COP1
1033482,KLHDC8B
1046873,C1QL1
1052172,RIT1
1033620,RILPL2
1022254,PXYLP1
1038993,ZNF385D
1038720,RMI1
1045846,IQCE
1042864,RHOF
1048794,NUMBL
1053570,NPY5R
1015382,MIAT
1041766,SLC39A4
1011664,VAV2
1040397,BRINP2
1045400,APOL2
1053060,PIM1
1020017,RHOBTB1
1059348,ADRB2
1037396,MGARP
1048163,TM9SF4
1043004,MIS18A
1061905,LINC00260
1025670,MAX
1058710,C1QC
1030633,KRIT1
1039831,CSMD1
1019578,JPX
1053709,NHS
1012134,PRKDC
1045091,GLCE
1018430,CCDC144B
1049164,CACNA1G
1049942,MADCAM1
1037519,TMEM185A
1057288,ELAVL1
1050449,NR1H2
1035947,MUCL1
1046032,TTLL5
1022386,ITPRIPL2
1065954,TNIK
1043197,MPC1
1022190,TIAL1
1049525,SLC25A12
1050411,VAV1
1040168,DHX35
1041697,FRMD4A
1041820,KIF27
1046010,CAMTA2
1016970,DACT1
1039302,ADCY3
1034852,MPP7
1047805,DNAL4
1042796,LZTFL1
1042312,RADX
1049274,CDKL1
1038332,FAM117A
1045511,LEMD3
1058073,COL9A1
1027232,SLC24A4
1057899,CSNK2A2
1032382,FAM126B
1033801,NIM1K
1040598,MIB1
1024682,RFX5
1016191,ZNF831
1062277,MIR124-2HG
1020322,CRLS1
1029533,SOD2
1041047,MEPE
1058652,CA4
1035152,SDHAF4
1016515,NUDT7
1030139,NR3C1
1015959,PCTP
1022403,CNTN3
1036239,SLITRK1
1060088,LINC01480
1033340,TRIML2
1047378,PPIH
1016636,C2orf81
1052157,RNASEL
1034486,ZNF362
1017042,FAM83E
1016039,TOR2A
1063426,PAXBP1-AS1
1054173,MGST2
1019779,PVT1
1039717,RBM15
1042051,QRSL1
1029943,PDZRN3
1014232,FRYL
1040438,RNF213
1019950,BCRP2
1023998,PKN1
1068841,DENND1B
1016794,CASP5
1020728,STXBP5L
1037716,CHCHD5
1017051,ZMYND12
1019941,HPGD
1047851,ARPC4
1047519,ABCA7
1037036,SSH2
1058708,C1R
1037445,USP32
1066398,SNHG21
1031565,ENHO
1010992,ASB13
1049071,BRSK2
1029634,RBM25
1046631,TMEM115
1048819,DLGAP2
1048532,STX8
1050160,RNF113A
1017474,PCDH19
1043190,NUB1
1050931,TCEA3
1062995,LOC284454
1025642,STRIP2
1034685,IL34
1050052,ALDH5A1
1033555,TMEM61
1043553,CEND1
1016562,NWD2
1033861,DAW1
1019887,FKBP5
1011181,FLYWCH2
1062481,SLC16A7
1025036,STOX2
1011887,BEND7
1049352,ADAM23
1014233,USP32P1
1047096,FARS2
1056310,GOLGA2
1042331,C9orf40
1049556,OPN3
1017328,KIZ
1049607,DGKE
1033372,ANKS6
1031546,CA13
1050418,UVRAG
1025760,EED
1062522,NLN
1015509,LINGO3
1065799,PPIEL
1062878,FAM153A
1045049,ABHD12
1015934,PRAG1
1036247,GPRIN1
1057269,EMX1
1041406,KLHL9
1029360,FAM189B
1055221,MRPL58
1066532,KCNH6
1056524,GALNT1
1028280,POU6F1
1042883,OTULINL
1057699,AKR1C1
1021142,IQCJ
1044229,SENP1
1024254,LRRC66
1062771,OIP5-AS1
1044349,C16orf72
1042350,TRMT12
1071005,STAG3L5P
1019456,ZNF99
1012011,RPH3A
1033642,B3GNT6
1037567,FAM120B
1059315,JAG1
1045646,LEPROTL1
1037129,HIST1H2BK
1054776,KCNS2
1052300,RAPSN
1064258,LOC100506100
1050043,HSD17B8
1039887,CHST8
1070639,NPIPA8
1054850,KCNB1
1039767,PLPPR2
1032276,DCBLD1
1025038,PPP1R42
1016305,ASXL3
1015773,PLEKHM1
1019958,GLYCTK
1011756,WFS1
1050711,TNNC2
1028072,PPP1CB
1048546,ROCK2
1012505,LAMTOR3
1023879,GOSR1
1023682,NTNG1
1025391,MEIS3
1037581,ZNF512
1046583,PRDM4
1034153,TMEM74
1054071,MPL
1044192,ST8SIA5
1010613,MIR4697HG
1040048,PERP
1026286,RAP1A
1048179,TOX
1026565,TAC3
1020601,ZBTB38
1046408,MAN1B1
1029219,MYLK
1022808,PEG10
1038619,SPSB1
1030995,NCK2
1042252,ELP3
1052803,PPM1A
1046629,DUSP14
1016832,CYTOR
1048692,UBE4A
1016889,MEIG1
1016641,PCP4L1
1052923,UBL3
1038762,DENND2D
1020721,FOXN3
1063757,FAM78B
1017000,C6orf52
1066941,RAB30-DT
1042664,SAMD9
1036052,C8orf34
1018626,TMEM218
1035822,HIST4H4
1039102,NLRX1
1047327,CARM1
1057547,DR1
1043165,HECA
1013891,LOC645513
1034030,DENND5B
1010750,MCPH1-AS1
1035589,EID2B
1067412,CDH6
1012012,ZNF436
1050831,TG
1059422,ACVR2A
1033689,PSORS1C1
1042724,PCSK4
1026715,PDE8B
1032931,SNX32
1038730,PCNX2
1058839,BFSP1
1017669,ADGRA1
1018746,FAM201A
1058146,CLPS
1059079,ARHGAP4
1020270,PRICKLE1
1057341,EGR1
1010806,GRIN2A
1028084,SNX7
1030711,EGFL7
1025959,CPNE7
1036425,SFXN1
1046716,METAP2
1037479,C22orf23
1031410,TMEM81
1016242,LMO2
1019514,YDJC
1016263,LOC399815
1042577,DPP8
1053623,NPPA
1030494,WDR89
1044676,B9D1
1044809,PCOLCE2
1044899,FBXO6
1037683,EEF1AKMT4
